,budget,popularity,vote_count,top_cast_avg_rating,director_encoded,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,title,genres,director,top_cast,release_date,vote_average,revenue,budget_log,revenue_log,profit_ratio
1,300000000,139.082615,4500,6.271936339522531,714,2007,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,['Unknown'],2007-05-19,6.9,961000000,19.519293035953808,20.68348496797515,2.203333333333333
4,260000000,43.926995,2124,6.108333333333333,89,2012,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,John Carter,"['Action', 'Adventure', 'Science Fiction']",Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",2012-03-07,6.1,284139100,19.376192192825954,19.46497446846993,0.0928426923076923
5,258000000,115.699814,3576,6.271936339522531,1838,2007,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']",Sam Raimi,['Unknown'],2007-05-01,5.9,890871626,19.36847014676186,20.607710897613856,2.4529907984496124
6,260000000,48.681969,3330,6.636666666666667,257,2010,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tangled,"['Animation', 'Family']",Byron Howard,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",2010-11-24,7.4,591794936,19.376192192825954,20.198670742638633,1.2761343692307692
10,270000000,57.925623,1400,5.685555555555555,255,2006,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Superman Returns,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Bryan Singer,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",2006-06-28,5.4,391081192,19.413932520666354,19.784425751123838,0.44844885925925926
11,200000000,107.928811,2965,6.271936339522531,1284,2008,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']",Marc Forster,['Unknown'],2008-10-30,6.1,586090727,19.11382792951231,20.188985161495555,1.930453635
12,200000000,145.847379,5246,6.271936339522531,714,2006,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,['Unknown'],2006-06-20,7.0,1065659812,19.11382792951231,20.78685998699344,4.32829906
13,255000000,49.046956,2311,6.271936339522531,714,2013,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,The Lone Ranger,"['Action', 'Adventure', 'Western']",Gore Verbinski,['Unknown'],2013-07-03,5.9,89289910,19.35677410704427,18.307399060740746,-0.6498434901960785
14,225000000,99.398009,6359,6.23888888888889,2175,2013,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Man of Steel,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Zack Snyder,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",2013-06-12,6.5,662845518,19.23161096461314,20.312052517984124,1.94598008
15,225000000,53.978602,1630,6.3,74,2008,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']",Andrew Adamson,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",2008-05-15,6.3,419651413,19.23161096461314,19.854934957961998,0.8651173911111111
17,380000000,135.413856,4948,6.271936339522531,1733,2011,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']",Rob Marshall,['Unknown'],2011-05-14,6.4,1045713802,19.755681813316283,20.76796555425219,1.7518784263157894
18,225000000,52.035179,4160,6.271936339522531,148,2012,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Men in Black 3,"['Action', 'Comedy', 'Science Fiction']",Barry Sonnenfeld,['Unknown'],2012-05-23,6.2,624026776,19.23161096461314,20.25170383727199,1.7734523377777778
19,250000000,120.965743,4760,6.271936339522531,1614,2014,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']",Peter Jackson,['Unknown'],2014-12-10,7.1,956019788,19.33697147982652,20.678289170592233,2.824079152
20,215000000,89.866276,6586,6.271936339522531,1288,2012,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']",Marc Webb,['Unknown'],2012-06-27,6.5,752215857,19.186148590743098,20.438533885937286,2.4986784046511628
21,200000000,37.668301,1398,6.271936339522531,1723,2010,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robin Hood,"['Action', 'Adventure']",Ridley Scott,['Unknown'],2010-05-12,6.2,310669540,19.11382792951231,19.554240336084877,0.5533477
